Section,Instructor,TA,Section_TA,Next,Running,Reachout,Reachout_1,Reachout_2,Running_exam,Exam 1,Exam 2,Exam 3,Exam 4,Polling_1,Polling_2,Polling_3,Polling_4,Polling_5,Polling_6,Polling_7,Polling_8,Polling_9,Polling_10,Polling_11,Polling_12,Polling_13,Polling_14,Polling_15,Polling_16,Polling_17,Polling_18,Polling_19,Polling_20,Polling_21,Polling_22,Polling_23,Polling_24,Polling_25,RQ_1,RQ_2,RQ_3,RQ_4,RQ_5,RQ_6,RQ_7,RQ_8,RQ_9,RQ_10,RQ_11,RQ_12,RQ_13,RQ_14,RQ_15,RQ_16,RQ_17,RQ_18,RQ_19,RQ_20,RQ_21,RQ_22,RQ_23,RQ_24,RQ_25,Grade,Minor,c_running,Below,Compliance,Firstgen,Female
2,1,8,208,0,3.9,1,0,1,0,0,0,0,0,2,2,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,-67.6,1,1,0,0
2,1,28,228,0,8.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,-62.89,1,1,0,0
2,1,20,220,0,12.39,1,0,1,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1.36,1.8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92,0,-59.11,1,1,0,0
3,2,24,324,0,16,1,1,0,19.65116279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46,1,-55.5,1,1,0,0
3,2,32,332,0,24,1,1,0,19.65116279,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1.25,0.88,1.48,1.8,1.75,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57,1,-47.5,1,1,0,0
1,1,22,122,8,14.63,1,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0.8,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.75,0,2,2,0,2,2,0,0,2,0,2,2,1.4,0,0,0,2,2,16.85,1,-56.87,1,1,0,1
1,1,33,133,0,21.26,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.22,0.67,1.14,1.6,0,1.5,0,0,0,0,0,0,0,0,0,0.84,0,1.56,0.32,0,0,0,0,0,0,1.8,2,2,0,0,2,1.8,2,1.75,2,0,2,1.5,2,2,20.93,1,-50.24,1,1,1,1
1,1,13,113,0,42.71,1,0,1,45.16666667,43,0,0,0,0,1.5,2,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,1.64,2,0,0,2,2,0,0,0,0,0,0,0,0,21.13,0,-28.79,1,1,1,0
3,2,24,324,0,31,1,1,0,25,25,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.6,1.82,1.8,0.8,0,2,1.8,0,1.25,1.4,0,0,0,0,0,0,21.29,0,-40.5,1,1,1,1
1,1,36,136,0,43.88,1,0,1,84.88,80,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0,-27.62,1,1,1,0
